Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR,HF,AF,HST,AST,HC,AC,Away,Score,Referee,Season,hasfans,Home_is_Big4,Away_is_Big4,Home_Total_Cards,Away_Total_Cards,Home_Foul_Tolerance,Away_Foul_Tolerance,Home_Pressure,Away_Pressure
2017-08-11,Başakşehir,Bursaspor,1,0,H,1.0,0.0,H,1.0,1.0,0.0,0.0,15.0,9.0,3.0,1.0,0.0,3.0,Bursaspor,1–0,Umit Öztürk,1718,1,0,0,1.0,1.0,15.0,9.0,3.0,4.0
2017-08-12,Alanyaspor,Kasımpaşa,1,3,A,1.0,2.0,A,2.0,4.0,0.0,0.0,12.0,23.0,7.0,3.0,5.0,3.0,Kasımpaşa,1–3,Suat Arslanboga,1718,1,0,0,2.0,4.0,6.0,5.75,12.0,6.0
2017-08-12,Göztepe,Fenerbahçe,2,2,D,1.0,1.0,D,4.0,1.0,0.0,0.0,20.0,12.0,4.0,5.0,0.0,4.0,Fenerbahçe,2–2,Yaşar Kemal Uğurlu,1718,1,0,1,4.0,1.0,5.0,12.0,4.0,9.0
2017-08-13,Beşiktaş,Antalyaspor,2,0,H,1.0,0.0,H,3.0,4.0,0.0,0.0,23.0,16.0,5.0,2.0,3.0,3.0,Antalyaspor,2–0,Cüneyt Çakιr,1718,1,1,0,3.0,4.0,7.666666666666667,4.0,8.0,5.0
2017-08-13,Trabzonspor,Konyaspor,2,1,H,1.0,1.0,D,4.0,2.0,0.0,0.0,20.0,20.0,6.0,4.0,1.0,6.0,Konyaspor,2–1,Hüseyin Göçek,1718,1,1,0,4.0,2.0,5.0,10.0,7.0,10.0
2017-08-14,Galatasaray,Kayserispor,4,1,H,3.0,1.0,H,2.0,4.0,0.0,1.0,14.0,18.0,8.0,2.0,2.0,2.0,Kayserispor,4–1,Halis Özkahya,1718,1,1,0,2.0,5.0,7.0,3.6,10.0,4.0
2017-08-18,Kasımpaşa,Beşiktaş,2,2,D,1.0,2.0,A,4.0,2.0,0.0,0.0,14.0,20.0,4.0,5.0,4.0,4.0,Beşiktaş,2–2,Alper Ulusoy,1718,1,0,1,4.0,2.0,3.5,10.0,8.0,9.0
2017-08-19,Bursaspor,Alanyaspor,3,2,H,2.0,0.0,H,2.0,2.0,0.0,0.0,16.0,15.0,6.0,6.0,1.0,2.0,Alanyaspor,3–2,Serkan Tokat,1718,1,0,0,2.0,2.0,8.0,7.5,7.0,8.0
2017-08-19,Sivasspor,Yeni Malatyaspor,2,0,H,1.0,0.0,H,3.0,2.0,0.0,0.0,19.0,16.0,2.0,2.0,4.0,7.0,Yeni Mal'spor,2–0,Serkan Çınar,1718,1,0,0,3.0,2.0,6.333333333333333,8.0,6.0,9.0
2017-08-20,Fenerbahçe,Trabzonspor,2,2,D,1.0,1.0,D,2.0,4.0,0.0,0.0,17.0,28.0,3.0,3.0,4.0,9.0,Trabzonspor,2–2,Ali Palabıyık,1718,1,1,1,2.0,4.0,8.5,7.0,7.0,12.0
