Referee,Matches,Total_Fouls,Total_Cards,General_Tolerance,Avg_Cards_Per_Match,Tol_Big4,Tol_Others,Bias_Score
Abdulkadir Bitigen,144,1934.0,372.0,5.198924731182796,5.166666666666667,6.0,4.844961240310077,1.1550387596899228
Ali Palabıyık,160,2149.0,410.0,5.241463414634146,5.125,4.5813953488372094,5.718487394957983,-1.1370920461207739
Ali Şansalan,184,2315.0,441.0,5.249433106575964,4.793478260869565,5.3023255813953485,5.227564102564102,0.07476147883124629
Alper Ulusoy,122,1641.0,287.0,5.7177700348432055,4.704918032786885,5.057142857142857,5.9308755760368665,-0.8737327188940096
Arda Kardeşler,200,2590.0,426.0,6.07981220657277,4.26,6.194915254237288,6.035714285714286,0.15920096852300247
Atilla Karaoğlan,164,2219.0,458.0,4.844978165938865,5.585365853658536,4.920289855072464,4.8125,0.10778985507246386
Bahattin Şimşek,94,1162.0,164.0,7.085365853658536,3.4893617021276597,9.666666666666666,6.576642335766423,3.090024330900243
Burak Pakkan,60,771.0,166.0,4.644578313253012,5.533333333333333,3.923076923076923,4.705882352941177,-0.7828054298642537
Burak Şeker,46,591.0,110.0,5.372727272727273,4.782608695652174,7.0,5.262135922330097,1.7378640776699026
Cihan Aydın,84,1099.0,155.0,7.090322580645161,3.6904761904761907,8.368421052631579,6.6752136752136755,1.6932073774179033
Cüneyt Çakιr,172,2496.0,348.0,7.172413793103448,4.046511627906977,7.455357142857143,7.038135593220339,0.41722154963680413
Direnç Tonusluoğlu,58,717.0,135.0,5.311111111111111,4.655172413793103,7.333333333333333,5.058333333333334,2.2749999999999995
Erkan Özdamar,86,1008.0,198.0,5.090909090909091,4.604651162790698,4.4,5.265822784810126,-0.8658227848101259
Fırat Aydınus,170,2115.0,337.0,6.275964391691395,3.9647058823529413,6.9,6.012658227848101,0.887341772151899
Halil Meler,92,1322.0,233.0,5.67381974248927,5.065217391304348,5.910256410256411,5.554838709677419,0.35541770057899136
Halil Umut Meler,162,2034.0,393.0,5.175572519083969,4.851851851851852,5.040816326530612,5.2560975609756095,-0.2152812344449977
Halis Özkahya,108,1438.0,181.0,7.94475138121547,3.3518518518518516,9.523809523809524,7.467625899280575,2.0561836245289484
Hüseyin Göçek,120,1723.0,269.0,6.405204460966543,4.483333333333333,6.880952380952381,6.317180616740088,0.5637717642122935
Kadir Sağlam,94,1210.0,240.0,5.041666666666667,5.1063829787234045,5.087719298245614,5.027322404371585,0.06039689387402891
Mehmet Türkmen,44,443.0,69.0,6.420289855072464,3.1363636363636362,8.32,5.340909090909091,2.9790909090909095
Mert Güzenge,52,632.0,94.0,6.723404255319149,3.6153846153846154,5.666666666666667,6.758241758241758,-1.0915750915750912
Mete Kalkavan,174,2221.0,387.0,5.739018087855297,4.448275862068965,6.655172413793103,5.473333333333334,1.1818390804597696
Oğuzhan Çakir,48,588.0,109.0,5.394495412844036,4.541666666666667,3.84,5.857142857142857,-2.017142857142857
Sarper Barış Saka,56,658.0,104.0,6.326923076923077,3.7142857142857144,5.928571428571429,6.388888888888889,-0.46031746031746046
Serkan Tokat,40,508.0,83.0,6.120481927710843,4.15,4.5,6.160493827160494,-1.6604938271604937
Suat Arslanboga,104,1389.0,252.0,5.511904761904762,4.846153846153846,6.035714285714286,5.446428571428571,0.5892857142857144
Tugay Kaan Numanoğlu,100,1222.0,231.0,5.29004329004329,4.62,4.9523809523809526,5.365079365079365,-0.4126984126984121
Turgut Doman,54,694.0,118.0,5.88135593220339,4.37037037037037,7.0,5.766355140186916,1.2336448598130838
Umit Öztürk,190,2474.0,521.0,4.748560460652591,5.484210526315789,4.650943396226415,4.773493975903614,-0.12255057967719907
Volkan Bayarslan,112,1506.0,201.0,7.492537313432836,3.5892857142857144,7.642857142857143,7.43448275862069,0.20837438423645338
Yasin Kol,82,1068.0,209.0,5.110047846889952,5.097560975609756,5.0,5.131428571428572,-0.13142857142857167
Yaşar Kemal Uğurlu,212,2755.0,414.0,6.654589371980676,3.9056603773584904,6.049019607843137,6.852564102564102,-0.8035444947209651
Zorbay Küçük,176,2549.0,439.0,5.806378132118451,4.988636363636363,6.775862068965517,5.458204334365325,1.3176577346001919
Çağdaş Altay,60,700.0,120.0,5.833333333333333,4.0,3.3333333333333335,6.111111111111111,-2.7777777777777772
Özgür Yankaya,58,834.0,126.0,6.619047619047619,4.344827586206897,7.166666666666667,6.56140350877193,0.6052631578947372
