Month,AfD_Vote_Rate
2015-01,5.6
2015-02,5.5
2015-03,6.0
2015-04,5.25
2015-05,4.5
2015-06,4.5
2015-07,3.8
2015-08,3.25
2015-09,4.0
2015-10,6.75
2015-11,7.25
2015-12,7.6
2016-01,9.25
2016-02,9.75
2016-03,10.6
2016-04,10.25
2016-05,10.5
2016-06,10.4
2016-07,8.75
2016-08,9.8
2016-09,13.0
2016-10,12.25
2016-11,10.6
2016-12,11.0
2017-01,11.75
2017-02,9.5
2017-03,8.4
2017-04,8.25
2017-05,7.2
2017-06,7.0
2017-07,7.25
2017-08,8.4
2017-09,9.0
2017-10,11.75
2017-11,11.666666666666666
2017-12,11.2
2018-01,11.666666666666666
2018-02,13.0
2018-03,13.0
2018-04,12.25
2018-05,13.0
2018-06,14.0
2018-07,15.25
2018-08,14.0
2018-09,14.6
2018-10,14.25
2018-11,13.0
2018-12,13.0
2019-01,11.75
2019-02,12.0
2019-03,11.6
2019-04,12.5
2019-05,13.0
2019-06,12.2
2019-07,12.5
2019-08,12.8
2019-09,13.25
2019-10,12.75
2019-11,13.0
2019-12,13.333333333333334
2020-01,12.666666666666666
2020-02,10.4
2020-03,9.8
2020-04,9.5
2020-05,9.4
2020-06,8.75
2020-07,9.5
2020-08,8.6
2020-09,8.75
2020-10,9.2
2020-11,9.0
2020-12,8.25
2021-01,8.75
2021-02,8.0
2021-03,10.0
2021-04,10.8
2021-05,10.0
2021-06,9.0
2021-07,9.75
2021-08,10.2
2021-09,10.75
2021-10,9.0
2021-11,9.6
2021-12,9.666666666666666
2022-01,9.666666666666666
2022-02,9.5
2022-03,8.2
2022-04,9.0
2022-05,8.8
2022-06,9.25
2022-07,9.25
2022-08,10.6
2022-09,12.5
2022-10,14.0
2022-11,13.4
2022-12,12.333333333333334
2023-01,12.75
2023-02,13.0
2023-03,13.75
2023-04,14.5
2023-05,16.2
2023-06,18.5
2023-07,19.25
2023-08,20.8
2023-09,21.25
2023-10,20.8
2023-11,21.0
2023-12,22.333333333333332
2024-01,20.75
2024-02,17.5
2024-03,17.0
2024-04,16.6
2024-05,15.0
2024-06,15.75
2024-07,16.6
2024-08,17.0
2024-09,17.0
2024-10,17.0
2024-11,17.2
2024-12,18.5
2025-01,19.5
2025-02,20.2
2025-03,22.5
2025-04,24.8
2025-05,24.5
2025-06,23.5
2025-07,24.4
2025-08,25.75
2025-09,26.2
2025-10,26.0
2025-11,26.0
