geo,TIME_PERIOD,OBS_VALUE
DE,2015-01,114.8
DE,2015-02,115.9
DE,2015-03,116.6
DE,2015-04,117.3
DE,2015-05,117.7
DE,2015-06,117.6
DE,2015-07,118.0
DE,2015-08,118.0
DE,2015-09,117.6
DE,2015-10,117.6
DE,2015-11,116.5
DE,2015-12,116.6
DE,2016-01,115.3
DE,2016-02,115.7
DE,2016-03,116.8
DE,2016-04,116.9
DE,2016-05,117.6
DE,2016-06,117.7
DE,2016-07,118.4
DE,2016-08,118.3
DE,2016-09,118.2
DE,2016-10,118.4
DE,2016-11,117.3
DE,2016-12,118.4
DE,2017-01,117.3
DE,2017-02,118.2
DE,2017-03,118.5
DE,2017-04,119.2
DE,2017-05,119.2
DE,2017-06,119.7
DE,2017-07,120.4
DE,2017-08,120.5
DE,2017-09,120.5
DE,2017-10,120.2
DE,2017-11,119.4
DE,2017-12,120.2
DE,2018-01,119.0
DE,2018-02,119.6
DE,2018-03,120.5
DE,2018-04,120.8
DE,2018-05,122.0
DE,2018-06,122.1
DE,2018-07,123.0
DE,2018-08,123.1
DE,2018-09,123.2
DE,2018-10,123.3
DE,2018-11,121.9
DE,2018-12,122.1
DE,2019-01,121.0
DE,2019-02,121.6
DE,2019-03,122.2
DE,2019-04,123.3
DE,2019-05,123.6
DE,2019-06,124.0
DE,2019-07,124.5
DE,2019-08,124.3
DE,2019-09,124.3
DE,2019-10,124.4
DE,2019-11,123.4
DE,2019-12,124.0
DE,2020-01,123.0
DE,2020-02,123.7
DE,2020-03,123.8
DE,2020-04,124.3
DE,2020-05,124.2
DE,2020-06,125.1
DE,2020-07,124.5
DE,2020-08,124.2
DE,2020-09,123.9
DE,2020-10,123.8
DE,2020-11,122.5
DE,2020-12,123.3
DE,2021-01,125.0
DE,2021-02,125.7
DE,2021-03,126.2
DE,2021-04,126.8
DE,2021-05,127.2
DE,2021-06,127.6
DE,2021-07,128.4
DE,2021-08,128.5
DE,2021-09,128.8
DE,2021-10,129.6
DE,2021-11,129.8
DE,2021-12,130.2
DE,2022-01,131.4
DE,2022-02,132.5
DE,2022-03,135.8
DE,2022-04,136.8
DE,2022-05,138.3
DE,2022-06,138.2
DE,2022-07,139.2
DE,2022-08,139.8
DE,2022-09,142.9
DE,2022-10,144.6
DE,2022-11,144.5
DE,2022-12,142.7
DE,2023-01,143.5
DE,2023-02,144.9
DE,2023-03,146.3
DE,2023-04,147.2
DE,2023-05,147.0
DE,2023-06,147.5
DE,2023-07,148.3
DE,2023-08,148.8
DE,2023-09,149.0
DE,2023-10,148.8
DE,2023-11,147.8
DE,2023-12,148.1
DE,2024-01,147.9
DE,2024-02,148.8
DE,2024-03,149.8
DE,2024-04,150.7
DE,2024-05,151.0
DE,2024-06,151.3
DE,2024-07,152.1
DE,2024-08,151.9
DE,2024-09,151.8
DE,2024-10,152.3
DE,2024-11,151.4
DE,2024-12,152.3
DE,2025-01,152.0
DE,2025-02,152.7
DE,2025-03,153.3
DE,2025-04,154.0
DE,2025-05,154.2
DE,2025-06,154.3
DE,2025-07,154.9
DE,2025-08,155.0
DE,2025-09,155.4
DE,2025-10,155.8
FR,2015-01,114.14
FR,2015-02,114.98
FR,2015-03,115.85
FR,2015-04,116.0
FR,2015-05,116.29
FR,2015-06,116.21
FR,2015-07,115.65
FR,2015-08,116.06
FR,2015-09,115.63
FR,2015-10,115.73
FR,2015-11,115.49
FR,2015-12,115.76
FR,2016-01,114.52
FR,2016-02,114.86
FR,2016-03,115.75
FR,2016-04,115.86
FR,2016-05,116.41
FR,2016-06,116.58
FR,2016-07,116.1
