geo,TIME_PERIOD,OBS_VALUE
DE,2015-01,7455
DE,2015-02,8075
DE,2015-03,9735
DE,2015-04,8500
DE,2015-05,7925
DE,2015-06,10160
DE,2015-07,11130
DE,2015-08,11040
DE,2015-09,13545
DE,2015-10,16315
DE,2015-11,17580
DE,2015-12,14805
DE,2016-01,18450
DE,2016-02,23905
DE,2016-03,21460
DE,2016-04,22045
DE,2016-05,20580
DE,2016-06,26705
DE,2016-07,26410
DE,2016-08,33230
DE,2016-09,27825
DE,2016-10,11510
DE,2016-11,9020
DE,2016-12,6610
DE,2017-01,6930
DE,2017-02,6570
DE,2017-03,7530
DE,2017-04,5680
DE,2017-05,6365
DE,2017-06,5810
DE,2017-07,6565
DE,2017-08,7505
DE,2017-09,6600
DE,2017-10,6470
DE,2017-11,7240
DE,2017-12,5125
DE,2018-01,7040
DE,2018-02,6010
DE,2018-03,5950
DE,2018-04,5510
DE,2018-05,5290
DE,2018-06,5950
DE,2018-07,6615
DE,2018-08,6430
DE,2018-09,5640
DE,2018-10,6140
DE,2018-11,5720
DE,2018-12,3770
DE,2019-01,6510
DE,2019-02,5645
DE,2019-03,5050
DE,2019-04,5010
DE,2019-05,5355
DE,2019-06,4080
DE,2019-07,5965
DE,2019-08,5455
DE,2019-09,5200
DE,2019-10,5235
DE,2019-11,4815
DE,2019-12,3635
DE,2020-01,5685
DE,2020-02,4670
DE,2020-03,3480
DE,2020-04,2395
DE,2020-05,1990
DE,2020-06,2445
DE,2020-07,3725
DE,2020-08,3425
DE,2020-09,4470
DE,2020-10,4025
DE,2020-11,4010
DE,2020-12,2885
DE,2021-01,3685
DE,2021-02,3570
DE,2021-03,4545
DE,2021-04,4145
DE,2021-05,4330
DE,2021-06,5015
DE,2021-07,5890
DE,2021-08,5680
DE,2021-09,6250
DE,2021-10,5830
DE,2021-11,6780
DE,2021-12,4855
DE,2022-01,5870
DE,2022-02,5535
DE,2022-03,5850
DE,2022-04,4750
DE,2022-05,5115
DE,2022-06,4695
DE,2022-07,4965
DE,2022-08,5715
DE,2022-09,6030
DE,2022-10,6655
DE,2022-11,8190
DE,2022-12,6725
DE,2023-01,7910
DE,2023-02,7250
DE,2023-03,7780
DE,2023-04,6170
DE,2023-05,6870
DE,2023-06,7260
DE,2023-07,7380
DE,2023-08,8340
DE,2023-09,7990
DE,2023-10,9505
DE,2023-11,10275
DE,2023-12,6900
DE,2024-01,8830
DE,2024-02,6715
DE,2024-03,5865
DE,2024-04,5890
DE,2024-05,5980
DE,2024-06,5805
DE,2024-07,6515
DE,2024-08,6460
DE,2024-09,6300
DE,2024-10,7010
DE,2024-11,5855
DE,2024-12,4080
DE,2025-01,5475
DE,2025-02,4470
DE,2025-03,3695
DE,2025-04,3730
DE,2025-05,3335
DE,2025-06,2825
DE,2025-07,3505
DE,2025-08,3385
DE,2025-09,3920
DE,2025-10,3760
FR,2015-01,1545
FR,2015-02,2140
FR,2015-03,2140
FR,2015-04,2055
FR,2015-05,1690
FR,2015-06,1945
FR,2015-07,2050
FR,2015-08,1895
FR,2015-09,2340
FR,2015-10,2725
FR,2015-11,2350
FR,2015-12,2515
FR,2016-01,1990
FR,2016-02,2135
FR,2016-03,2045
FR,2016-04,1975
FR,2016-05,2180
FR,2016-06,2230
FR,2016-07,2230
FR,2016-08,2730
FR,2016-09,2505
FR,2016-10,2540
FR,2016-11,2235
