geo,TIME_PERIOD,OBS_VALUE
DE,2015-01,4.5
DE,2015-02,4.5
DE,2015-03,4.5
DE,2015-04,4.4
DE,2015-05,4.4
DE,2015-06,4.4
DE,2015-07,4.3
DE,2015-08,4.3
DE,2015-09,4.3
DE,2015-10,4.2
DE,2015-11,4.2
DE,2015-12,4.2
DE,2016-01,4.1
DE,2016-02,4.1
DE,2016-03,4.0
DE,2016-04,4.0
DE,2016-05,4.0
DE,2016-06,4.0
DE,2016-07,3.9
DE,2016-08,3.9
DE,2016-09,3.8
DE,2016-10,3.7
DE,2016-11,3.7
DE,2016-12,3.7
DE,2017-01,3.7
DE,2017-02,3.6
DE,2017-03,3.6
DE,2017-04,3.6
DE,2017-05,3.6
DE,2017-06,3.5
DE,2017-07,3.5
DE,2017-08,3.5
DE,2017-09,3.4
DE,2017-10,3.4
DE,2017-11,3.4
DE,2017-12,3.4
DE,2018-01,3.3
DE,2018-02,3.3
DE,2018-03,3.3
DE,2018-04,3.2
DE,2018-05,3.2
DE,2018-06,3.2
DE,2018-07,3.2
DE,2018-08,3.2
DE,2018-09,3.1
DE,2018-10,3.1
DE,2018-11,3.1
DE,2018-12,3.1
DE,2019-01,3.0
DE,2019-02,3.0
DE,2019-03,3.0
DE,2019-04,2.9
DE,2019-05,2.9
DE,2019-06,2.9
DE,2019-07,2.9
DE,2019-08,2.9
DE,2019-09,2.9
DE,2019-10,2.9
DE,2019-11,3.0
DE,2019-12,3.1
DE,2020-01,3.2
DE,2020-02,3.3
DE,2020-03,3.4
DE,2020-04,3.5
DE,2020-05,3.7
DE,2020-06,3.8
DE,2020-07,3.8
DE,2020-08,3.9
DE,2020-09,3.8
DE,2020-10,3.8
DE,2020-11,3.8
DE,2020-12,3.8
DE,2021-01,3.9
DE,2021-02,3.9
DE,2021-03,3.9
DE,2021-04,3.8
DE,2021-05,3.7
DE,2021-06,3.6
DE,2021-07,3.5
DE,2021-08,3.4
DE,2021-09,3.4
DE,2021-10,3.4
DE,2021-11,3.4
DE,2021-12,3.4
DE,2022-01,3.3
DE,2022-02,3.2
DE,2022-03,3.2
DE,2022-04,3.1
DE,2022-05,3.1
DE,2022-06,3.1
DE,2022-07,3.1
DE,2022-08,3.1
DE,2022-09,3.1
DE,2022-10,3.1
DE,2022-11,3.1
DE,2022-12,3.1
DE,2023-01,3.0
DE,2023-02,3.0
DE,2023-03,3.0
DE,2023-04,3.0
DE,2023-05,3.0
DE,2023-06,3.0
DE,2023-07,3.0
DE,2023-08,3.1
DE,2023-09,3.1
DE,2023-10,3.1
DE,2023-11,3.2
DE,2023-12,3.2
DE,2024-01,3.2
DE,2024-02,3.3
DE,2024-03,3.3
DE,2024-04,3.4
DE,2024-05,3.4
DE,2024-06,3.4
DE,2024-07,3.4
DE,2024-08,3.4
DE,2024-09,3.4
DE,2024-10,3.4
DE,2024-11,3.4
DE,2024-12,3.5
DE,2025-01,3.5
DE,2025-02,3.6
DE,2025-03,3.7
DE,2025-04,3.7
DE,2025-05,3.7
DE,2025-06,3.8
DE,2025-07,3.8
DE,2025-08,3.8
DE,2025-09,3.9
FR,2015-01,10.4
FR,2015-02,10.3
FR,2015-03,10.4
FR,2015-04,10.4
FR,2015-05,10.5
FR,2015-06,10.4
FR,2015-07,10.3
FR,2015-08,10.3
FR,2015-09,10.3
FR,2015-10,10.3
FR,2015-11,10.3
FR,2015-12,10.2
FR,2016-01,10.3
FR,2016-02,10.4
FR,2016-03,10.2
FR,2016-04,10.1
FR,2016-05,10.0
FR,2016-06,10.0
FR,2016-07,9.8
FR,2016-08,9.9
FR,2016-09,9.9
FR,2016-10,10.1
FR,2016-11,10.1
FR,2016-12,10.0
FR,2017-01,9.7
FR,2017-02,9.6
FR,2017-03,9.6
FR,2017-04,9.5
FR,2017-05,9.5
FR,2017-06,9.5
FR,2017-07,9.6
FR,2017-08,9.5
FR,2017-09,9.3
FR,2017-10,9.1
FR,2017-11,9.0
FR,2017-12,9.0
FR,2018-01,9.2
FR,2018-02,9.3
FR,2018-03,9.3
FR,2018-04,9.2
FR,2018-05,9.1
FR,2018-06,9.0
FR,2018-07,9.0
FR,2018-08,8.9
FR,2018-09,8.9
FR,2018-10,8.8
FR,2018-11,8.8
FR,2018-12,8.8
FR,2019-01,8.8
FR,2019-02,8.7
FR,2019-03,8.7
FR,2019-04,8.5
FR,2019-05,8.4
FR,2019-06,8.5
FR,2019-07,8.4
FR,2019-08,8.3
FR,2019-09,8.2
FR,2019-10,8.2
FR,2019-11,8.2
FR,2019-12,8.2
FR,2020-01,8.2
FR,2020-02,7.8
FR,2020-03,7.6
FR,2020-04,7.6
FR,2020-05,6.9
FR,2020-06,7.3
FR,2020-07,8.6
FR,2020-08,9.0
FR,2020-09,9.0
FR,2020-10,8.3
FR,2020-11,8.1
FR,2020-12,7.9
FR,2021-01,8.1
FR,2021-02,8.2
FR,2021-03,8.2
FR,2021-04,8.2
FR,2021-05,8.0
FR,2021-06,7.9
FR,2021-07,7.9
FR,2021-08,7.9
FR,2021-09,7.7
FR,2021-10,7.5
FR,2021-11,7.5
FR,2021-12,7.4
FR,2022-01,7.3
FR,2022-02,7.3
FR,2022-03,7.4
FR,2022-04,7.5
FR,2022-05,7.5
FR,2022-06,7.4
FR,2022-07,7.3
FR,2022-08,7.2
FR,2022-09,7.1
FR,2022-10,7.2
FR,2022-11,7.2
FR,2022-12,7.2
FR,2023-01,7.1
FR,2023-02,7.1
FR,2023-03,7.1
FR,2023-04,7.3
FR,2023-05,7.3
FR,2023-06,7.3
FR,2023-07,7.4
FR,2023-08,7.4
FR,2023-09,7.4
FR,2023-10,7.5
FR,2023-11,7.6
FR,2023-12,7.6
FR,2024-01,7.6
FR,2024-02,7.4
FR,2024-03,7.4
FR,2024-04,7.3
FR,2024-05,7.4
FR,2024-06,7.5
FR,2024-07,7.4
FR,2024-08,7.4
FR,2024-09,7.4
FR,2024-10,7.3
FR,2024-11,7.3
FR,2024-12,7.3
FR,2025-01,7.3
FR,2025-02,7.5
FR,2025-03,7.6
FR,2025-04,7.5
FR,2025-05,7.6
FR,2025-06,7.5
FR,2025-07,7.5
FR,2025-08,7.5
FR,2025-09,7.6
IT,2015-01,12.4
IT,2015-02,12.4
IT,2015-03,12.6
IT,2015-04,12.2
IT,2015-05,12.4
IT,2015-06,12.4
IT,2015-07,11.7
IT,2015-08,11.6
IT,2015-09,11.6
IT,2015-10,11.8
IT,2015-11,11.5
IT,2015-12,11.7
IT,2016-01,11.6
IT,2016-02,11.7
IT,2016-03,11.6
IT,2016-04,11.9
IT,2016-05,11.5
IT,2016-06,11.7
IT,2016-07,11.6
IT,2016-08,11.6
IT,2016-09,11.9
IT,2016-10,11.7
IT,2016-11,12.0
IT,2016-12,11.8
IT,2017-01,11.7
IT,2017-02,11.5
IT,2017-03,11.6
IT,2017-04,11.2
IT,2017-05,11.5
IT,2017-06,11.1
IT,2017-07,11.4
IT,2017-08,11.3
IT,2017-09,11.2
IT,2017-10,11.1
IT,2017-11,11.0
IT,2017-12,10.9
IT,2018-01,11.0
IT,2018-02,10.8
IT,2018-03,10.9
IT,2018-04,11.0
IT,2018-05,10.6
IT,2018-06,10.7
IT,2018-07,10.3
IT,2018-08,10.1
IT,2018-09,10.3
IT,2018-10,10.7
IT,2018-11,10.5
IT,2018-12,10.3
IT,2019-01,10.4
IT,2019-02,10.5
IT,2019-03,10.3
IT,2019-04,10.3
IT,2019-05,10.0
IT,2019-06,9.6
IT,2019-07,9.6
IT,2019-08,9.4
IT,2019-09,9.7
IT,2019-10,9.5
IT,2019-11,9.8
IT,2019-12,9.8
IT,2020-01,9.6
IT,2020-02,9.5
IT,2020-03,7.7
IT,2020-04,7.4
IT,2020-05,8.7
IT,2020-06,9.6
IT,2020-07,10.3
IT,2020-08,10.1
IT,2020-09,10.0
IT,2020-10,10.0
IT,2020-11,9.5
IT,2020-12,9.7
IT,2021-01,10.2
IT,2021-02,10.1
IT,2021-03,10.2
IT,2021-04,10.3
IT,2021-05,9.9
IT,2021-06,9.4
IT,2021-07,9.1
IT,2021-08,9.1
IT,2021-09,9.1
IT,2021-10,9.1
IT,2021-11,9.0
IT,2021-12,8.8
IT,2022-01,8.6
IT,2022-02,8.4
IT,2022-03,8.3
IT,2022-04,8.1
IT,2022-05,8.1
IT,2022-06,8.2
IT,2022-07,8.0
IT,2022-08,8.2
IT,2022-09,8.0
IT,2022-10,7.8
IT,2022-11,7.8
IT,2022-12,7.9
IT,2023-01,7.9
IT,2023-02,7.8
IT,2023-03,7.9
IT,2023-04,7.9
IT,2023-05,7.8
IT,2023-06,7.4
IT,2023-07,7.8
IT,2023-08,7.6
IT,2023-09,7.7
IT,2023-10,7.8
IT,2023-11,7.5
IT,2023-12,7.1
IT,2024-01,7.1
IT,2024-02,7.3
IT,2024-03,6.9
IT,2024-04,6.8
IT,2024-05,6.6
IT,2024-06,6.7
IT,2024-07,6.4
IT,2024-08,6.3
IT,2024-09,6.1
IT,2024-10,6.1
IT,2024-11,6.1
IT,2024-12,6.4
IT,2025-01,6.4
IT,2025-02,6.1
IT,2025-03,6.3
IT,2025-04,6.1
IT,2025-05,6.5
IT,2025-06,6.3
IT,2025-07,6.0
IT,2025-08,6.0
IT,2025-09,6.1
NL,2015-01,8.3
NL,2015-02,8.1
NL,2015-03,8.1
NL,2015-04,8.1
NL,2015-05,8.0
NL,2015-06,7.9
NL,2015-07,7.7
NL,2015-08,7.7
NL,2015-09,7.8
NL,2015-10,7.9
NL,2015-11,7.7
NL,2015-12,7.6
NL,2016-01,7.4
NL,2016-02,7.5
NL,2016-03,7.4
NL,2016-04,7.4
NL,2016-05,7.2
